Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Sexe/Âge - Département : La Réunion 974 - Janvier 1996 à Janvier 2023 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fj=974&lo=0&ss=1
Mois;Hommes/Moins de 25 ans;Hommes/De 25 à 49 ans;Hommes/50 ans ou plus;Total Hommes;Femmes/Moins de 25 ans;Femmes/De 25 à 49 ans;Femmes/50 ans ou plus;Total Femmes;Total
Septembre 2016; 13 030; 53 240; 21 100; 87 370; 14 060; 58 910; 21 240; 94 210; 181 570
Octobre 2016; 12 950; 53 290; 21 230; 87 470; 13 910; 58 830; 21 310; 94 050; 181 530
Novembre 2016; 12 940; 53 190; 21 360; 87 490; 13 740; 58 880; 21 510; 94 130; 181 610
Décembre 2016; 12 520; 53 130; 21 590; 87 240; 13 310; 58 260; 21 590; 93 160; 180 400
Janvier 2017; 12 900; 54 020; 22 000; 88 920; 13 520; 58 680; 21 850; 94 050; 182 970
Février 2017; 12 720; 53 770; 21 980; 88 470; 13 330; 58 550; 21 910; 93 790; 182 260
Mars 2017; 12 440; 53 520; 22 030; 87 990; 13 090; 58 330; 22 030; 93 450; 181 450
Avril 2017; 12 170; 53 110; 22 040; 87 320; 12 820; 58 090; 22 030; 92 940; 180 250
Mai 2017; 12 080; 53 060; 22 140; 87 280; 12 890; 58 130; 22 180; 93 200; 180 480
Juin 2017; 11 930; 52 760; 22 180; 86 870; 12 910; 57 910; 22 230; 93 050; 179 920
Juillet 2017; 11 980; 52 560; 22 200; 86 740; 13 060; 57 670; 22 330; 93 060; 179 810
Août 2017; 12 650; 53 020; 22 360; 88 030; 13 610; 58 410; 22 630; 94 650; 182 670
Septembre 2017; 12 570; 52 800; 22 360; 87 730; 13 590; 58 270; 22 720; 94 580; 182 310
Octobre 2017; 12 550; 52 770; 22 530; 87 850; 13 480; 58 230; 22 950; 94 660; 182 510
Novembre 2017; 12 320; 52 690; 22 600; 87 610; 13 110; 57 980; 23 040; 94 130; 181 730
Décembre 2017; 11 630; 52 430; 22 740; 86 800; 12 510; 57 410; 23 080; 93 000; 179 800
Janvier 2018; 12 080; 53 410; 23 190; 88 680; 12 760; 58 150; 23 300; 94 210; 182 880
Février 2018; 12 050; 53 170; 23 280; 88 500; 12 720; 58 070; 23 390; 94 180; 182 680
Mars 2018; 11 880; 52 970; 23 320; 88 170; 12 630; 57 810; 23 470; 93 910; 182 070
Avril 2018; 11 660; 52 810; 23 380; 87 850; 12 440; 57 630; 23 560; 93 630; 181 480
Mai 2018; 11 720; 53 110; 23 590; 88 420; 12 460; 57 800; 23 720; 93 980; 182 410
Juin 2018; 11 550; 52 780; 23 590; 87 920; 12 410; 57 430; 23 760; 93 600; 181 530
Juillet 2018; 11 770; 52 960; 23 630; 88 360; 12 710; 57 500; 23 940; 94 150; 182 510
Août 2018; 12 210; 53 060; 23 690; 88 960; 13 050; 58 060; 24 090; 95 200; 184 160
Septembre 2018; 12 240; 52 770; 23 590; 88 600; 13 110; 57 930; 24 100; 95 140; 183 750
Octobre 2018; 12 310; 52 900; 23 750; 88 960; 13 180; 58 060; 24 260; 95 500; 184 460
Novembre 2018; 11 790; 52 250; 23 690; 87 730; 12 670; 57 430; 24 230; 94 330; 182 040
Décembre 2018; 11 560; 52 320; 23 930; 87 810; 12 250; 57 160; 24 380; 93 790; 181 610
Janvier 2019; 12 050; 53 200; 24 260; 89 510; 12 740; 58 010; 24 650; 95 400; 184 910
Février 2019; 11 880; 52 790; 24 260; 88 930; 12 700; 57 890; 24 720; 95 310; 184 230
Mars 2019; 11 720; 52 590; 24 370; 88 680; 12 530; 57 630; 24 780; 94 940; 183 610
Avril 2019; 11 530; 52 560; 24 440; 88 530; 12 290; 57 390; 24 790; 94 470; 182 990
Mai 2019; 11 280; 52 160; 24 450; 87 890; 12 100; 56 900; 24 780; 93 780; 181 650
Juin 2019; 11 210; 51 990; 24 530; 87 730; 12 070; 56 940; 24 890; 93 900; 181 640
Juillet 2019; 11 550; 52 050; 24 530; 88 130; 12 450; 57 170; 25 110; 94 730; 182 860
Août 2019; 11 960; 51 900; 24 550; 88 410; 12 800; 57 300; 25 270; 95 370; 183 780
Septembre 2019; 12 100; 51 800; 24 460; 88 360; 12 880; 57 330; 25 300; 95 510; 183 870
Octobre 2019; 12 000; 51 410; 24 460; 87 870; 12 750; 56 980; 25 340; 95 070; 182 930
Novembre 2019; 11 560; 50 380; 24 350; 86 290; 12 370; 55 610; 25 150; 93 130; 179 420
Décembre 2019; 10 990; 50 250; 24 500; 85 740; 11 820; 54 950; 25 180; 91 950; 177 710
Janvier 2020; 11 390; 50 840; 24 690; 86 920; 12 300; 55 280; 25 370; 92 950; 179 860
Février 2020; 11 270; 50 150; 24 520; 85 940; 12 180; 54 870; 25 300; 92 350; 178 280
Mars 2020; 10 990; 50 340; 24 610; 85 940; 11 990; 55 160; 25 420; 92 570; 178 500
Avril 2020; 10 930; 50 820; 24 620; 86 370; 11 970; 55 380; 25 530; 92 880; 179 240
Mai 2020; 10 990; 50 610; 24 680; 86 280; 11 890; 55 300; 25 590; 92 780; 179 050
Juin 2020; 11 000; 50 440; 24 700; 86 140; 11 980; 55 100; 25 610; 92 690; 178 830
Juillet 2020; 11 230; 50 230; 24 650; 86 110; 12 390; 55 290; 25 770; 93 450; 179 550
Août 2020; 11 760; 50 260; 24 740; 86 760; 12 780; 55 640; 25 950; 94 370; 181 130
Septembre 2020; 11 940; 50 170; 24 830; 86 940; 12 910; 55 840; 26 130; 94 880; 181 820
Octobre 2020; 11 750; 49 920; 24 770; 86 440; 12 720; 55 500; 26 020; 94 240; 180 690
Novembre 2020; 11 610; 49 660; 24 790; 86 060; 12 450; 55 230; 26 020; 93 700; 179 750
Décembre 2020; 11 270; 49 740; 24 980; 85 990; 11 990; 54 850; 26 070; 92 910; 178 900
Janvier 2021; 11 480; 50 280; 25 170; 86 930; 12 200; 55 400; 26 160; 93 760; 180 690
Février 2021; 11 470; 50 190; 25 130; 86 790; 12 130; 55 400; 26 180; 93 710; 180 500
Mars 2021; 11 610; 50 190; 25 270; 87 070; 12 210; 55 610; 26 360; 94 180; 181 240
Avril 2021; 11 340; 49 800; 25 170; 86 310; 12 070; 55 190; 26 340; 93 600; 179 910
Mai 2021; 11 240; 49 590; 25 240; 86 070; 11 860; 55 130; 26 390; 93 380; 179 440
Juin 2021; 11 180; 49 420; 25 210; 85 810; 12 080; 55 090; 26 420; 93 590; 179 390
Juillet 2021; 11 360; 49 250; 25 120; 85 730; 12 280; 54 870; 26 460; 93 610; 179 330
Août 2021; 12 020; 49 250; 25 090; 86 360; 12 660; 55 220; 26 550; 94 430; 180 790
Septembre 2021; 12 280; 49 050; 25 130; 86 460; 12 840; 55 160; 26 640; 94 640; 181 100
Octobre 2021; 12 180; 48 470; 25 030; 85 680; 12 710; 54 590; 26 610; 93 910; 179 590
Novembre 2021; 12 040; 48 440; 25 110; 85 590; 12 590; 54 460; 26 640; 93 690; 179 280
Décembre 2021; 11 650; 48 170; 25 120; 84 940; 12 210; 53 850; 26 480; 92 540; 177 480
Janvier 2022; 11 840; 48 350; 25 230; 85 420; 12 370; 53 830; 26 490; 92 690; 178 120
Février 2022; 11 830; 47 850; 25 110; 84 790; 12 360; 53 430; 26 460; 92 250; 177 030
Mars 2022; 11 980; 48 010; 25 240; 85 230; 12 550; 53 850; 26 660; 93 060; 178 280
Avril 2022; 11 630; 47 610; 25 040; 84 280; 12 280; 53 210; 26 440; 91 930; 176 210
Mai 2022; 11 420; 47 370; 25 010; 83 800; 12 120; 53 110; 26 340; 91 570; 175 370
Juin 2022; 11 260; 46 850; 24 980; 83 090; 12 080; 52 740; 26 300; 91 120; 174 220
Juillet 2022; 11 400; 46 890; 24 950; 83 240; 12 370; 52 850; 26 380; 91 600; 174 830
Août 2022; 12 040; 47 200; 24 930; 84 170; 12 950; 53 490; 26 520; 92 960; 177 140
Septembre 2022; 12 190; 47 030; 24 830; 84 050; 13 080; 53 410; 26 460; 92 950; 176 990
Octobre 2022; 12 150; 46 730; 24 770; 83 650; 13 040; 53 160; 26 440; 92 640; 176 270
Novembre 2022; 12 090; 46 860; 24 700; 83 650; 13 050; 53 010; 26 520; 92 580; 176 220
Décembre 2022; 11 720; 46 540; 24 770; 83 030; 12 520; 52 180; 26 350; 91 050; 174 070
Janvier 2023; 12 130; 47 240; 25 020; 84 390; 12 720; 52 860; 26 480; 92 060; 176 440

Les données présentées dans ce tableau sont arrondies à la dizaine.Pour cette raison, la somme des valeurs d’une ligne(ou d’une colonne) peut légèrement différer du total affiché.
