Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Sexe/Âge - Département : La Réunion 974 - Janvier 1996 à Janvier 2023 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fj=974&lo=0&ss=1
Mois;Hommes/Moins de 25 ans;Hommes/De 25 à 49 ans;Hommes/50 ans ou plus;Total Hommes;Femmes/Moins de 25 ans;Femmes/De 25 à 49 ans;Femmes/50 ans ou plus;Total Femmes;Total
Septembre 2000; 13 990; 44 630; 4 410; 63 030; 14 940; 46 460; 3 680; 65 080; 128 100
Octobre 2000; 13 790; 44 540; 4 390; 62 720; 14 870; 46 940; 3 720; 65 530; 128 250
Novembre 2000; 13 630; 44 860; 4 410; 62 900; 14 710; 47 270; 3 760; 65 740; 128 630
Décembre 2000; 12 870; 44 550; 4 460; 61 880; 13 980; 46 060; 3 770; 63 810; 125 700
Janvier 2001; 13 270; 45 850; 4 560; 63 680; 14 220; 47 240; 3 850; 65 310; 128 990
Février 2001; 13 130; 45 370; 4 560; 63 060; 14 060; 46 930; 3 860; 64 850; 127 910
Mars 2001; 12 840; 45 060; 4 560; 62 460; 13 850; 46 870; 3 830; 64 550; 127 010
Avril 2001; 12 730; 45 220; 4 690; 62 640; 13 670; 47 360; 3 950; 64 980; 127 620
Mai 2001; 12 460; 44 990; 4 700; 62 150; 13 400; 47 110; 3 950; 64 460; 126 610
Juin 2001; 12 350; 44 550; 4 700; 61 600; 13 380; 46 810; 3 940; 64 130; 125 720
Juillet 2001; 13 000; 44 380; 4 700; 62 080; 14 230; 47 140; 3 970; 65 340; 127 420
Août 2001; 13 730; 44 250; 4 680; 62 660; 14 740; 47 540; 4 060; 66 340; 128 990
Septembre 2001; 13 680; 43 940; 4 690; 62 310; 14 500; 46 910; 4 100; 65 510; 127 820
Octobre 2001; 13 640; 44 200; 4 750; 62 590; 14 460; 47 530; 4 180; 66 170; 128 760
Novembre 2001; 13 330; 44 120; 4 730; 62 180; 14 100; 47 460; 4 130; 65 690; 127 880
Décembre 2001; 12 730; 44 080; 4 780; 61 590; 13 330; 46 030; 4 010; 63 370; 124 960
Janvier 2002; 12 930; 45 370; 4 830; 63 130; 13 400; 47 110; 4 070; 64 580; 127 710
Février 2002; 13 110; 45 590; 4 860; 63 560; 13 490; 47 630; 4 140; 65 260; 128 810
Mars 2002; 13 030; 45 550; 4 870; 63 450; 13 320; 47 610; 4 190; 65 120; 128 570
Avril 2002; 12 850; 45 610; 4 880; 63 340; 13 200; 47 370; 4 150; 64 720; 128 050
Mai 2002; 12 520; 45 390; 4 950; 62 860; 12 980; 47 140; 4 180; 64 300; 127 160
Juin 2002; 12 370; 44 850; 4 880; 62 100; 12 860; 46 630; 4 160; 63 650; 125 750
Juillet 2002; 13 090; 44 370; 4 860; 62 320; 13 770; 46 720; 4 190; 64 680; 127 000
Août 2002; 13 720; 44 010; 4 890; 62 620; 14 000; 46 810; 4 210; 65 020; 127 630
Septembre 2002; 13 980; 43 640; 4 890; 62 510; 13 940; 46 450; 4 220; 64 610; 127 120
Octobre 2002; 13 690; 43 370; 4 860; 61 920; 13 700; 46 100; 4 140; 63 940; 125 860
Novembre 2002; 13 290; 43 100; 4 880; 61 270; 13 320; 45 340; 4 140; 62 800; 124 070
Décembre 2002; 12 780; 43 440; 4 910; 61 130; 12 700; 44 390; 4 110; 61 200; 122 330
Janvier 2003; 12 980; 43 650; 4 860; 61 490; 12 670; 44 330; 4 110; 61 110; 122 590
Février 2003; 12 930; 43 720; 4 930; 61 580; 12 710; 44 650; 4 180; 61 540; 123 120
Mars 2003; 12 700; 43 680; 4 940; 61 320; 12 720; 44 750; 4 210; 61 680; 122 990
Avril 2003; 13 380; 44 640; 4 980; 63 000; 13 100; 45 780; 4 240; 63 120; 126 120
Mai 2003; 12 200; 42 960; 4 880; 60 040; 12 040; 44 050; 4 130; 60 220; 120 260
Juin 2003; 11 840; 42 070; 4 870; 58 780; 11 850; 43 350; 4 090; 59 290; 118 070
Juillet 2003; 12 210; 41 630; 4 870; 58 710; 12 800; 43 780; 4 160; 60 740; 119 450
Août 2003; 12 240; 41 060; 4 830; 58 130; 12 840; 43 710; 4 160; 60 710; 118 850
Septembre 2003; 12 490; 40 590; 4 900; 57 980; 13 020; 43 630; 4 200; 60 850; 118 830
Octobre 2003; 12 160; 39 950; 4 860; 56 970; 12 740; 43 150; 4 220; 60 110; 117 080
Novembre 2003; 11 760; 39 460; 4 850; 56 070; 12 310; 42 500; 4 200; 59 010; 115 090
Décembre 2003; 11 240; 39 600; 4 840; 55 680; 11 840; 42 160; 4 200; 58 200; 113 870
Janvier 2004; 11 640; 39 820; 4 870; 56 330; 11 980; 42 120; 4 180; 58 280; 114 610
Février 2004; 11 560; 39 430; 4 860; 55 850; 12 010; 41 980; 4 170; 58 160; 114 000
Mars 2004; 11 660; 39 320; 4 890; 55 870; 12 090; 42 210; 4 230; 58 530; 114 390
Avril 2004; 11 480; 39 110; 4 890; 55 480; 11 940; 42 350; 4 260; 58 550; 114 020
Mai 2004; 11 300; 39 060; 4 960; 55 320; 11 690; 42 070; 4 290; 58 050; 113 360
Juin 2004; 11 310; 39 090; 4 920; 55 320; 11 760; 42 230; 4 290; 58 280; 113 590
Juillet 2004; 11 560; 38 500; 4 870; 54 930; 12 320; 42 180; 4 350; 58 850; 113 770
Août 2004; 12 320; 38 190; 4 910; 55 420; 12 830; 42 420; 4 400; 59 650; 115 060
Septembre 2004; 12 160; 37 740; 4 890; 54 790; 12 600; 42 080; 4 410; 59 090; 113 880
Octobre 2004; 11 940; 37 410; 4 860; 54 210; 12 350; 41 850; 4 460; 58 660; 112 870
Novembre 2004; 11 800; 37 420; 4 850; 54 070; 12 170; 41 850; 4 510; 58 530; 112 590
Décembre 2004; 11 330; 37 900; 4 930; 54 160; 11 590; 41 630; 4 480; 57 700; 111 850
Janvier 2005; 11 720; 38 730; 5 000; 55 450; 11 750; 41 820; 4 550; 58 120; 113 560
Février 2005; 11 720; 38 710; 4 960; 55 390; 11 640; 41 800; 4 590; 58 030; 113 410
Mars 2005; 11 470; 38 460; 4 980; 54 910; 11 590; 41 930; 4 610; 58 130; 113 030
Avril 2005; 11 290; 38 020; 4 980; 54 290; 11 340; 41 610; 4 600; 57 550; 111 820
Mai 2005; 11 140; 37 930; 5 000; 54 070; 11 310; 41 650; 4 650; 57 610; 111 670
