Mois,Moins de 25 ans,De 25 à 49 ans,50 ans ou plus,Total
31/03/2002, 26 350, 93 160, 9 060, 128 570
30/04/2002, 26 050, 92 980, 9 020, 128 050
31/05/2002, 25 500, 92 540, 9 130, 127 160
30/06/2002, 25 230, 91 480, 9 040, 125 750
31/07/2002, 26 860, 91 090, 9 050, 127 000
31/08/2002, 27 710, 90 820, 9 100, 127 630
30/09/2002, 27 920, 90 090, 9 110, 127 120
31/10/2002, 27 390, 89 480, 9 000, 125 860
30/11/2002, 26 610, 88 440, 9 030, 124 070
31/12/2002, 25 480, 87 830, 9 020, 122 330
31/01/2003, 25 650, 87 980, 8 970, 122 590
28/02/2003, 25 640, 88 380, 9 110, 123 120
31/03/2003, 25 410, 88 430, 9 150, 122 990
30/04/2003, 26 480, 90 420, 9 220, 126 120
31/05/2003, 24 230, 87 010, 9 020, 120 260
30/06/2003, 23 690, 85 420, 8 960, 118 070
31/07/2003, 25 020, 85 420, 9 020, 119 450
31/08/2003, 25 080, 84 770, 9 000, 118 850
30/09/2003, 25 510, 84 220, 9 100, 118 830
31/10/2003, 24 900, 83 100, 9 080, 117 080
30/11/2003, 24 070, 81 960, 9 060, 115 090
31/12/2003, 23 080, 81 760, 9 040, 113 870
31/01/2004, 23 620, 81 940, 9 050, 114 610
29/02/2004, 23 560, 81 410, 9 030, 114 000
31/03/2004, 23 740, 81 530, 9 120, 114 390
30/04/2004, 23 420, 81 460, 9 140, 114 020
31/05/2004, 22 990, 81 130, 9 240, 113 360
30/06/2004, 23 080, 81 310, 9 200, 113 590
31/07/2004, 23 880, 80 680, 9 220, 113 770
31/08/2004, 25 150, 80 600, 9 310, 115 060
30/09/2004, 24 770, 79 810, 9 300, 113 880
31/10/2004, 24 290, 79 270, 9 320, 112 870
30/11/2004, 23 970, 79 270, 9 360, 112 590
31/12/2004, 22 920, 79 520, 9 410, 111 850
31/01/2005, 23 470, 80 550, 9 550, 113 560
28/02/2005, 23 360, 80 510, 9 540, 113 410
31/03/2005, 23 050, 80 390, 9 590, 113 030
30/04/2005, 22 620, 79 620, 9 580, 111 820
31/05/2005, 22 450, 79 580, 9 650, 111 670
30/06/2005, 22 130, 78 580, 9 620, 110 330
31/07/2005, 22 420, 77 840, 9 560, 109 810
31/08/2005, 23 410, 77 800, 9 650, 110 860
30/09/2005, 23 460, 77 360, 9 580, 110 400
31/10/2005, 22 810, 76 560, 9 650, 109 020
30/11/2005, 21 950, 75 730, 9 650, 107 340
31/12/2005, 21 300, 76 260, 9 830, 107 380
31/01/2006, 21 840, 77 090, 9 980, 108 910
28/02/2006, 21 920, 76 530, 9 960, 108 400
31/03/2006, 21 580, 75 950, 9 860, 107 390
30/04/2006, 20 890, 74 360, 9 720, 104 970
31/05/2006, 20 530, 73 770, 9 750, 104 050
30/06/2006, 20 700, 73 300, 9 680, 103 690
31/07/2006, 21 150, 71 990, 9 620, 102 760
31/08/2006, 21 990, 72 010, 9 570, 103 570
30/09/2006, 22 200, 71 610, 9 580, 103 390
31/10/2006, 21 830, 71 280, 9 660, 102 770
30/11/2006, 21 100, 70 540, 9 600, 101 240
31/12/2006, 19 930, 69 900, 9 710, 99 540
31/01/2007, 20 480, 70 770, 9 890, 101 150
28/02/2007, 19 860, 70 010, 9 880, 99 740
31/03/2007, 20 110, 70 890, 9 970, 100 970
30/04/2007, 19 560, 70 590, 10 010, 100 150
31/05/2007, 19 210, 70 340, 9 980, 99 530
30/06/2007, 18 990, 70 040, 9 940, 98 970
31/07/2007, 19 450, 69 180, 9 850, 98 480
31/08/2007, 20 710, 69 870, 9 890, 100 470
30/09/2007, 20 810, 70 140, 9 930, 100 870
31/10/2007, 20 340, 69 870, 9 860, 100 060
30/11/2007, 19 650, 69 430, 9 900, 98 970
31/12/2007, 18 260, 68 110, 9 890, 96 250
31/01/2008, 19 180, 69 980, 10 090, 99 250
29/02/2008, 19 280, 70 040, 10 110, 99 420
31/03/2008, 19 360, 70 320, 10 210, 99 890
30/04/2008, 19 180, 70 690, 10 350, 100 220
31/05/2008, 18 930, 70 700, 10 410, 100 040
30/06/2008, 18 860, 70 800, 10 520, 100 180
31/07/2008, 19 700, 71 060, 10 590, 101 350
31/08/2008, 20 610, 71 480, 10 690, 102 770
30/09/2008, 20 680, 72 130, 10 930, 103 740
31/10/2008, 20 670, 73 030, 11 120, 104 820
30/11/2008, 20 110, 72 910, 11 290, 104 310
31/12/2008, 19 400, 73 520, 11 490, 104 410
31/01/2009, 20 030, 75 500, 11 830, 107 360
28/02/2009, 20 710, 77 150, 12 140, 110 000
31/03/2009, 21 030, 78 700, 12 410, 112 130
30/04/2009, 21 460, 80 060, 12 690, 114 200
31/05/2009, 21 170, 80 340, 12 930, 114 440
30/06/2009, 21 230, 81 150, 13 130, 115 510
31/07/2009, 21 920, 81 870, 13 350, 117 140
31/08/2009, 23 420, 82 970, 13 660, 120 050
30/09/2009, 23 830, 84 170, 13 950, 121 940
31/10/2009, 24 450, 85 620, 14 280, 124 350
30/11/2009, 24 280, 86 480, 14 620, 125 370
31/12/2009, 23 520, 87 400, 15 070, 125 990
31/01/2010, 24 910, 90 130, 15 570, 130 610
28/02/2010, 25 320, 90 920, 15 860, 132 100
31/03/2010, 25 650, 92 280, 16 220, 134 150
30/04/2010, 25 240, 92 810, 16 510, 134 560
31/05/2010, 24 690, 92 580, 16 760, 134 030
30/06/2010, 24 830, 93 240, 17 000, 135 060
31/07/2010, 25 400, 93 740, 17 320, 136 460
31/08/2010, 26 170, 95 000, 17 760, 138 930
30/09/2010, 26 550, 96 360, 18 220, 141 120
31/10/2010, 26 580, 97 000, 18 510, 142 090
30/11/2010, 26 310, 97 790, 18 840, 142 930
31/12/2010, 25 490, 97 860, 19 190, 142 540
31/01/2011, 26 310, 99 730, 19 670, 145 720
28/02/2011, 26 620, 100 390, 19 920, 146 930
31/03/2011, 26 530, 101 180, 20 230, 147 930
30/04/2011, 25 740, 100 590, 20 370, 146 710
31/05/2011, 25 650, 101 070, 20 620, 147 350
30/06/2011, 25 420, 100 140, 20 710, 146 280
31/07/2011, 26 000, 100 090, 20 880, 146 970
31/08/2011, 26 770, 101 030, 21 240, 149 040
30/09/2011, 27 340, 101 780, 21 570, 150 690
31/10/2011, 26 960, 101 710, 21 840, 150 500
30/11/2011, 26 710, 101 740, 22 170, 150 630
31/12/2011, 25 890, 102 040, 22 590, 150 520
31/01/2012, 26 580, 103 510, 23 060, 153 150
29/02/2012, 26 420, 103 260, 23 290, 152 970
31/03/2012, 26 790, 104 470, 23 710, 154 970
30/04/2012, 26 230, 104 010, 23 880, 154 120
31/05/2012, 25 900, 103 490, 24 080, 153 470
30/06/2012, 26 020, 103 440, 24 370, 153 830
31/07/2012, 26 830, 103 580, 24 720, 155 140
31/08/2012, 27 820, 105 030, 25 200, 158 060
30/09/2012, 27 830, 104 500, 25 440, 157 770
31/10/2012, 28 110, 105 900, 26 120, 160 130
30/11/2012, 27 950, 106 670, 26 520, 161 140
31/12/2012, 26 800, 106 580, 26 940, 160 330
31/01/2013, 27 910, 108 610, 27 580, 164 100
28/02/2013, 28 150, 108 830, 27 810, 164 790
31/03/2013, 28 040, 109 040, 28 140, 165 220
30/04/2013, 28 100, 110 000, 28 550, 166 650
31/05/2013, 27 730, 109 440, 28 830, 166 000
30/06/2013, 27 120, 107 740, 28 830, 163 700
31/07/2013, 28 440, 108 540, 29 200, 166 190
31/08/2013, 29 280, 109 830, 29 630, 168 740
30/09/2013, 29 580, 109 910, 29 990, 169 480
31/10/2013, 29 890, 110 640, 30 400, 170 930
30/11/2013, 28 990, 109 870, 30 670, 169 530
31/12/2013, 27 530, 109 110, 31 070, 167 710
31/01/2014, 28 130, 110 810, 31 670, 170 610
28/02/2014, 27 890, 110 690, 31 900, 170 480
31/03/2014, 27 700, 110 630, 32 220, 170 550
30/04/2014, 27 510, 111 190, 32 670, 171 370
31/05/2014, 26 900, 110 910, 32 970, 170 780
30/06/2014, 27 030, 110 600, 33 270, 170 900
31/07/2014, 27 950, 111 100, 33 660, 172 710
31/08/2014, 28 460, 110 920, 34 000, 173 380
30/09/2014, 28 950, 111 100, 34 470, 174 520
31/10/2014, 28 780, 112 010, 34 940, 175 730
30/11/2014, 27 890, 110 980, 35 110, 173 980
31/12/2014, 26 950, 110 810, 35 500, 173 260
31/01/2015, 27 360, 112 190, 36 010, 175 560
28/02/2015, 27 290, 112 160, 36 220, 175 660
31/03/2015, 26 940, 112 550, 36 600, 176 090
30/04/2015, 26 520, 112 960, 36 990, 176 470
31/05/2015, 26 130, 112 770, 37 170, 176 060
30/06/2015, 26 360, 113 170, 37 710, 177 240
31/07/2015, 26 840, 113 160, 38 070, 178 060
31/08/2015, 27 600, 113 170, 38 360, 179 130
30/09/2015, 27 960, 113 380, 38 910, 180 250
31/10/2015, 27 850, 113 920, 39 420, 181 180
30/11/2015, 26 590, 111 040, 39 130, 176 760
31/12/2015, 26 160, 112 640, 39 890, 178 700
31/01/2016, 26 550, 113 600, 40 560, 180 710
29/02/2016, 26 570, 113 340, 40 710, 180 620
31/03/2016, 26 300, 113 450, 41 070, 180 820
30/04/2016, 25 460, 111 960, 41 150, 178 570
31/05/2016, 25 340, 112 070, 41 410, 178 820
30/06/2016, 25 470, 111 600, 41 500, 178 570
31/07/2016, 25 800, 110 790, 41 580, 178 180
31/08/2016, 27 240, 112 160, 42 030, 181 430
30/09/2016, 27 080, 112 150, 42 330, 181 570
31/10/2016, 26 870, 112 110, 42 550, 181 530
30/11/2016, 26 680, 112 060, 42 870, 181 610
31/12/2016, 25 830, 111 390, 43 180, 180 400
31/01/2017, 26 420, 112 700, 43 850, 182 970
28/02/2017, 26 050, 112 320, 43 890, 182 260
31/03/2017, 25 530, 111 850, 44 060, 181 450
30/04/2017, 24 990, 111 200, 44 060, 180 250
31/05/2017, 24 970, 111 190, 44 320, 180 480
30/06/2017, 24 840, 110 680, 44 400, 179 920
31/07/2017, 25 040, 110 230, 44 530, 179 810
31/08/2017, 26 250, 111 430, 44 980, 182 670
30/09/2017, 26 160, 111 070, 45 080, 182 310
31/10/2017, 26 030, 111 000, 45 480, 182 510
30/11/2017, 25 430, 110 670, 45 640, 181 730
31/12/2017, 24 140, 109 840, 45 830, 179 800
31/01/2018, 24 840, 111 560, 46 490, 182 880
28/02/2018, 24 770, 111 250, 46 670, 182 680
31/03/2018, 24 510, 110 770, 46 780, 182 070
30/04/2018, 24 100, 110 440, 46 940, 181 480
31/05/2018, 24 190, 110 910, 47 310, 182 410
30/06/2018, 23 960, 110 220, 47 350, 181 530
31/07/2018, 24 470, 110 460, 47 580, 182 510
31/08/2018, 25 260, 111 130, 47 780, 184 160
30/09/2018, 25 350, 110 700, 47 690, 183 750
31/10/2018, 25 490, 110 970, 48 010, 184 460
30/11/2018, 24 450, 109 680, 47 910, 182 040
31/12/2018, 23 820, 109 490, 48 310, 181 610
31/01/2019, 24 790, 111 210, 48 910, 184 910
28/02/2019, 24 580, 110 680, 48 980, 184 230
31/03/2019, 24 240, 110 220, 49 150, 183 610
30/04/2019, 23 820, 109 950, 49 230, 182 990
31/05/2019, 23 380, 109 050, 49 220, 181 650
30/06/2019, 23 280, 108 930, 49 430, 181 640
31/07/2019, 24 000, 109 230, 49 640, 182 860
31/08/2019, 24 760, 109 200, 49 820, 183 780
30/09/2019, 24 980, 109 130, 49 760, 183 870
31/10/2019, 24 740, 108 400, 49 800, 182 930
30/11/2019, 23 930, 106 000, 49 500, 179 420
31/12/2019, 22 810, 105 210, 49 690, 177 710
31/01/2020, 23 690, 106 120, 50 060, 179 860
29/02/2020, 23 450, 105 020, 49 820, 178 280
31/03/2020, 22 980, 105 490, 50 030, 178 500
30/04/2020, 22 890, 106 200, 50 160, 179 240
31/05/2020, 22 880, 105 900, 50 270, 179 050
30/06/2020, 22 980, 105 540, 50 310, 178 830
31/07/2020, 23 610, 105 520, 50 410, 179 550
31/08/2020, 24 540, 105 900, 50 690, 181 130
30/09/2020, 24 850, 106 020, 50 960, 181 820
31/10/2020, 24 470, 105 430, 50 790, 180 690
30/11/2020, 24 060, 104 880, 50 820, 179 750
31/12/2020, 23 260, 104 590, 51 050, 178 900
31/01/2021, 23 680, 105 680, 51 330, 180 690
28/02/2021, 23 600, 105 600, 51 310, 180 500
31/03/2021, 23 820, 105 790, 51 630, 181 240
30/04/2021, 23 410, 104 990, 51 510, 179 910
31/05/2021, 23 100, 104 720, 51 630, 179 440
30/06/2021, 23 260, 104 500, 51 630, 179 390
31/07/2021, 23 640, 104 120, 51 580, 179 330
31/08/2021, 24 670, 104 470, 51 640, 180 790
30/09/2021, 25 120, 104 210, 51 770, 181 100
31/10/2021, 24 890, 103 060, 51 640, 179 590
30/11/2021, 24 630, 102 900, 51 750, 179 280
31/12/2021, 23 860, 102 020, 51 600, 177 480
31/01/2022, 24 210, 102 180, 51 720, 178 120
28/02/2022, 24 190, 101 270, 51 570, 177 030
31/03/2022, 24 530, 101 860, 51 900, 178 280
30/04/2022, 23 910, 100 830, 51 470, 176 210
31/05/2022, 23 540, 100 480, 51 350, 175 370
30/06/2022, 23 350, 99 590, 51 290, 174 220
31/07/2022, 23 770, 99 740, 51 330, 174 830
31/08/2022, 24 990, 100 690, 51 460, 177 140
30/09/2022, 25 260, 100 440, 51 290, 176 990
31/10/2022, 25 190, 99 880, 51 210, 176 270
30/11/2022, 25 150, 99 860, 51 210, 176 220
31/12/2022, 24 240, 98 720, 51 110, 174 070
