Mois,97412,97413,97414,97431,97419,97420,97430,97425,97426,97427,97429,97440,97470,97400,97438,97439,97441,97480,97436,97434,97460,97442,97410,97433
2019,2380,1640,1440,1220,6450,8460,17740,2200,1810,3020,2580,10880,6940,28260,6390,1480,4270,9550,8370,12850,21730,1420,19940,1750
2019,2390,1640,1460,1230,6520,8520,17830,2230,1810,3040,2590,10960,7010,28470,6390,1490,4250,9560,8350,12900,21820,1430,20020,1750
2019,2390,1640,1450,1210,6530,8590,17790,2240,1800,3060,2550,10930,7040,28560,6370,1490,4280,9450,8420,12850,21900,1410,20060,1740
2019,2380,1630,1460,1200,6530,8490,17710,2190,1780,3030,2530,10870,6970,28400,6360,1490,4320,9450,8370,12790,21810,1410,19970,1730
2019,2330,1590,1430,1170,6380,8300,17450,2190,1740,3010,2500,10620,6760,27840,6260,1430,4250,9270,8240,12530,21410,1370,19650,1710
2019,2310,1590,1420,1170,6300,8190,17340,2150,1710,2990,2500,10460,6720,27490,6180,1420,4230,9280,8160,12440,21160,1360,19400,1690
2019,2370,1600,1460,1200,6320,8170,17540,2190,1740,2990,2510,10700,6840,27700,6330,1460,4290,9340,8260,12600,21370,1360,19700,1730
2020,2370,1590,1440,1180,6300,8150,17300,2160,1720,2970,2490,10580,6810,27650,6210,1420,4260,9250,8180,12500,21130,1360,19490,1720
2020,2360,1580,1440,1180,6320,8140,17360,2160,1730,3010,2500,10550,6760,27610,6210,1440,4260,9290,8210,12570,21150,1340,19560,1740
2020,2370,1590,1430,1190,6370,8180,17420,2180,1740,3040,2530,10600,6800,27790,6300,1440,4280,9300,8230,12590,21290,1350,19490,1720
2020,2350,1580,1430,1190,6370,8170,17390,2200,1730,3040,2510,10590,6870,27860,6320,1430,4300,9300,8180,12590,21200,1340,19350,1720
2020,2350,1570,1410,1200,6400,8260,17320,2220,1760,3010,2530,10590,6840,27820,6310,1440,4310,9260,8160,12640,21180,1340,19190,1750
2020,2380,1580,1400,1210,6440,8250,17390,2220,1760,3010,2520,10640,6880,28040,6370,1450,4320,9290,8250,12680,21260,1350,19090,1750
2020,2370,1600,1420,1240,6470,8370,17450,2210,1780,3040,2560,10750,6960,28280,6440,1440,4360,9360,8300,12770,21560,1370,19270,1760
2020,2390,1600,1430,1240,6530,8430,17550,2230,1760,3060,2550,10830,6980,28360,6460,1430,4370,9410,8330,12850,21650,1370,19310,1740
2020,2380,1600,1420,1210,6440,8300,17400,2210,1740,3050,2510,10690,6960,28260,6380,1420,4310,9370,8340,12770,21560,1350,19320,1690
2020,2370,1600,1430,1210,6400,8290,17430,2200,1770,3040,2520,10640,6860,28040,6340,1440,4290,9290,8270,12710,21400,1350,19160,1690
2020,2390,1610,1430,1230,6400,8220,17370,2200,1740,3020,2530,10540,6850,27760,6300,1440,4280,9240,8230,12740,21300,1360,19050,1700
2020,2440,1610,1430,1240,6440,8210,17580,2230,1770,3020,2580,10610,7040,27930,6390,1490,4340,9310,8340,12840,21580,1360,19210,1710
2021,2460,1610,1440,1240,6400,8170,17620,2230,1750,3020,2590,10550,7010,28010,6430,1470,4320,9220,8350,12790,21520,1340,19230,1720
2021,2450,1610,1430,1260,6430,8240,17610,2210,1770,3030,2610,10560,7040,28200,6450,1470,4280,9210,8380,12860,21720,1360,19310,1730
2021,2420,1620,1430,1220,6330,8130,17450,2220,1750,3040,2590,10490,6990,27990,6430,1470,4240,9100,8320,12760,21580,1350,19290,1720
2021,2420,1620,1430,1210,6350,8130,17430,2220,1760,3020,2590,10420,6960,27770,6400,1470,4260,9120,8320,12780,21460,1320,19280,1710
2021,2410,1620,1410,1210,6350,8160,17400,2230,1730,3000,2600,10370,7000,27900,6430,1480,4260,9120,8240,12730,21450,1300,19290,1690
2021,2400,1630,1460,1200,6440,8140,17350,2240,1750,2980,2580,10320,6900,27890,6440,1460,4290,9130,8310,12640,21510,1300,19290,1670
2021,2420,1650,1450,1210,6530,8260,17510,2220,1740,3010,2610,10370,6990,28060,6510,1480,4340,9120,8320,12790,21720,1300,19470,1690
2021,2420,1650,1440,1230,6540,8260,17490,2220,1740,3030,2610,10370,7000,28100,6530,1500,4330,9130,8350,12840,21760,1290,19570,1690
2021,2390,1630,1430,1210,6500,8180,17350,2210,1740,3050,2570,10280,6970,27870,6400,1490,4300,9060,8330,12700,21500,1300,19450,1690
