Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Niveau de formation - Région : La Réunion - Janvier 1996 à Décembre 2022 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fi=04&lw=0&ss=1
Mois;Non renseigné;Niveau supérieur à Bac+2;Niveau Bac+2;Niveau Bac;Niveau BEP, CAP;Niveau CEP, BEPC;Niveau inférieur au CEP, BEPC;Total
Juin 2003;ND;ND;ND;ND;ND;ND;ND; 118 070
Juillet 2003;ND;ND;ND;ND;ND;ND;ND; 119 450
Août 2003;ND;ND;ND;ND;ND;ND;ND; 118 850
Septembre 2003;ND;ND;ND;ND;ND;ND;ND; 118 830
Octobre 2003;ND;ND;ND;ND;ND;ND;ND; 117 080
Novembre 2003;ND;ND;ND;ND;ND;ND;ND; 115 090
Décembre 2003;ND;ND;ND;ND;ND;ND;ND; 113 870
Janvier 2004;ND;ND;ND;ND;ND;ND;ND; 114 610
Février 2004;ND;ND;ND;ND;ND;ND;ND; 114 000
Mars 2004;ND;ND;ND;ND;ND;ND;ND; 114 390
Avril 2004;ND;ND;ND;ND;ND;ND;ND; 114 020
Mai 2004;ND;ND;ND;ND;ND;ND;ND; 113 360
Juin 2004;ND;ND;ND;ND;ND;ND;ND; 113 590
Juillet 2004;ND;ND;ND;ND;ND;ND;ND; 113 770
Août 2004;ND;ND;ND;ND;ND;ND;ND; 115 060
Septembre 2004;ND;ND;ND;ND;ND;ND;ND; 113 880
Octobre 2004;ND;ND;ND;ND;ND;ND;ND; 112 870
Novembre 2004;ND;ND;ND;ND;ND;ND;ND; 112 590
Décembre 2004;ND;ND;ND;ND;ND;ND;ND; 111 850
Janvier 2005;ND;ND;ND;ND;ND;ND;ND; 113 560
Février 2005;ND;ND;ND;ND;ND;ND;ND; 113 410
Mars 2005;ND;ND;ND;ND;ND;ND;ND; 113 030
Avril 2005;ND;ND;ND;ND;ND;ND;ND; 111 820
Mai 2005;ND;ND;ND;ND;ND;ND;ND; 111 670
Juin 2005;ND;ND;ND;ND;ND;ND;ND; 110 330
Juillet 2005;ND;ND;ND;ND;ND;ND;ND; 109 810
Août 2005;ND;ND;ND;ND;ND;ND;ND; 110 860
Septembre 2005;ND;ND;ND;ND;ND;ND;ND; 110 400
Octobre 2005;ND;ND;ND;ND;ND;ND;ND; 109 020
Novembre 2005;ND;ND;ND;ND;ND;ND;ND; 107 340
Décembre 2005;ND;ND;ND;ND;ND;ND;ND; 107 380
Janvier 2006;ND;ND;ND;ND;ND;ND;ND; 108 910
